OBJECTID,Inventory__,y,y_1,x,x_1,x_2,F__of_Culverts,Bankfull,Blownout_DS_,County,Culvert_Height,Culvert_Length,Culvert_Material,Culvert_Roadway_Name,Headloss,Headwater_elevation,Invert_DS__RL_,Invert_DS__RR_,Invert_US__RL_,Invert_US__RR_,Lateral_Scour_DS,Constriction_Ratio,RL_Culvert_Slope,RR_Culvert_Slope,Scour_Pool_DS_,Tailwater_elevation,Culvert_Width,Total_Culvert_width,Vertical_Scour__M1_,Vertical_Scour__M2_,Vertical_Scour__RL_,Vertical_Scour__RR_
6,23-0064, N 43° 35.066,43.58433333,W 091° 44.831,91.74716667,-91.74716667,1,2.033333333,NO,Fillmore,5.6,40,METAL,160ST,-0.02,9.13,X,9.68,X,9.93,0,3.737704918,X,-0.625,No,9.11,7.6,7.6,X,X,X,0.1
21,23-0166, N 43° 38.231,43.63716667,W 092° 18.554,92.30916667,-92.30916667,1,1.3,NO,Fillmore,5,52,CONCRETE,Ottertail Rd,1.35,13.93,X,15.05,X,14.32,0,3.076923077,X,1.403846154,No,15.28,4,4,X,X,X,0.8
31,23-0053, N 43° 44.506,43.74166667,W 092° 11.342,92.189,-92.189,1,2.033333333,NO,Fillmore,9,31.5,METAL,231 st,0.36,12.44,X,14.5,X,13.88,0,17.70491803,X,1.968253968,No,12.8,36,36,X,X,X,0
109,28-0046, N 43° 46.452,43.77416667,W 091° 24.376,91.40616667,-91.40616667,1,4.3,NO,Houston,12,123,CONCRETE,CR 21,0,20,X,24.3,X,23.03,0,2.790697674,X,1.032520325,No,20,12,12,X,X,X,0
122,28-0052, N 43° 47.806,43.79666667,W 091° 24.286,91.40466667,-91.40466667,1,3.7,NO,Houston,5,30,METAL,-inding Creek Rd,0.05,8.61,X,9.2,X,8.98,0,1.351351351,X,0.733333333,No,8.66,5,5,X,X,X,0.38
123,28-0112, N 43° 47.832,43.79716667,W 091° 35.276,91.58783333,-91.58783333,1,13.95,NO,Houston,8,58,CONCRETE,Doblar Rd,1.49,14.46,X,15.3,X,14.46,0,0.64516129,X,1.448275862,No,15.95,9,9,X,X,X,0
167,55-0049, N 43° 50.083,43.83466667,W 092° 32.966,92.54933333,-92.54933333,1,1.6,NO,Olmstead,6,32.5,CONCRETE,33 Ave,0.27,11.14,X,11.64,X,11.29,0,3.4375,X,1.076923077,No,11.41,5.5,5.5,X,X,X,0
168,55-0048, N 43° 50.474,43.84116667,W 092° 32.359,92.53916667,-92.53916667,1,4.95,NO,Olmstead,6,102,CONCRETE,Co Rd 6,1.65,12.82,X,15.06,X,14.73,0,2.828282828,X,0.323529412,No,14.47,14,14,X,X,X,0
177,55-0017, N 43° 52.994,43.88316667,W 092°11.648,92.194,-92.194,1,2.333333333,NO,Olmstead,8.5,71,CONCRETE,CR 136,2,11.93,X,14.35,X,14.57,0,5.785714286,X,-0.309859155,No,13.93,13.5,13.5,X,X,X,0.35
5,23-0088, N 43° 35.059,43.58416667,W 091° 50.692,91.84483333,-91.84483333,3,13.06666667,NO,Fillmore,10,83,CONCRETE,403 Ave,0.03,9.88,NA,13.8,NA,13.17,0,2.755102041,NA,0.759036145,No,9.91,12,36,0,X,0,0
110,28-0187, N 43° 46.541,43.77566667,W 091° 26.809,91.44666667,-91.44666667,1,11.4,NO,Houston,4,90,CONCRETE,H-Y 25,0.11,13.43,NA,,NA,,0,NA,NA,NA,No,13.54,NA,NA,X,X,X,0
119,28-0056, N 43° 47.594,43.79316667,W 091° 23.399,91.38983333,-91.38983333,1,,NO,Houston,9.3,44,CONCRETE,Bush Valley Rd.,0.6,13.82,NA,,NA,,0,NA,NA,NA,No,14.42,NA,NA,X,X,X,0
94,28-0072, N 43° 43.501,43.725,W 091° 24.965,91.416,-91.416,2,7,NO,Houston,10,45,CONCRETE,Lumis Rd,1.22,16.49,17.97,17.99,16.99,17.17,0,2.857142857,2.177777778,1.822222222,No,17.71,10,20,X,X,0.5,0.45
34,23-0201, N 43° 44.814,43.74683333,W 092° 16.393,92.27316667,-92.27316667,2,,NO,Fillmore,7.2,59,CONCRETE,H-y 8,0.1,12.3,14.69,6.41,13.49,5.03,0,,2.033898305,2.338983051,No,12.4,11,22,X,X,0,NA
88,28-0183, N 43° 41.470,43.69116667,W 091° 42.632,91.7105,-91.7105,2,4.533333333,NO,Houston,5.5,75,CONCRETE,CR 15,1.5,17.1,18.6,18.5,17.3,17.38,0,2.426470588,1.733333333,1.493333333,No,18.6,5.5,11,X,X,0,0
195,85-0069, N 43° 52.546,43.87566667,W 091° 36.842,91.614,-91.614,3,3.466666667,NO,Winona,6,55,CONCRETE,CR 76 drive-ay public,0.14,13.2,7.8,14.98,6.89,14.44,0,2.884615385,1.654545455,0.981818182,No,13.34,3.333333333,10,0,X,NA,0
89,28-0164, N 43° 42.046,43.70066667,W 091° 39.675,91.66116667,-91.66116667,2,6.933333333,NO,Houston,12,86,CONCRETE,CR 4,1.38,19.35,21.02,20.95,19.78,19.62,0,3.461538462,1.441860465,1.546511628,No,20.73,12,24,X,X,0,0
137,50-0062, N 43° 40.546,43.67566667,W 092°38.976,,,3,1.5,NO,Mo-er,3.5,28,METAL,Field Crossing,0.04,6.37,4.43,5.13,4.06,4.06,0,9,1.321428571,3.821428571,No,6.41,4.5,13.5,0,X,0,0
46,23-0027, N 43° 49.232,43.8205,W 092° 01.535,92.0255,-92.0255,2,5.6,NO,Fillmore,10.6,86,CONCRETE,Harro- Dr.,0.22,12.41,16.67,,15.63,,0,3,1.209302326,NA,No,12.63,8.5,17,X,X,0,NA
196,85-0072, N 43° 53.019,43.8835,W 091° 36.217,91.6035,-91.6035,2,4.833333333,NO,Winona,10,65,CONCRETE,H-Y 76,1.7,17.27,20.03,7.94,19.3,5.54,0,4.965517241,1.123076923,3.692307692,No,18.97,12,24,X,X,0,NA
125,28-0114, N 43° 48.917,43.81516667,W 091° 36.091,91.6015,-91.6015,2,7.733333333,NO,Houston,12,62,CONCRETE,Doblar Rd,3.34,19.16,20.15,5.83,19.51,5.46,0,1.810344828,1.032258065,0.596774194,No,22.5,7,14,X,X,1,NA
121,28-0075, N 43° 47.642,43.794,W 091° 25.669,91.42766667,-91.42766667,2,2.9,NO,Houston,7.5,74,CONCRETE,CR 21,0.34,13.81,14.91,5.02,14.17,4.29,0,3.448275862,1,0.986486486,No,14.15,5,10,X,X,0,NA
106,28-0127, N 43° 45.845,43.764,W 091° 41.006,91.68333333,-91.68333333,3,6.533333333,NO,Houston,10,66,CONCRETE,Daley Creek,0.5,17.69,18.92,18.85,18.29,18.37,0,4.591836735,0.954545455,0.727272727,No,18.19,10,30,0,X,0,0
117,28-0051, N 43° 47.524,43.792,W 091° 24.250,91.40416667,-91.40416667,2,3.366666667,NO,Houston,5.5,20,METAL,-inding Creek Rd,0.6,8.81,10.34,9.76,10.15,9.73,0,3.267326733,0.95,0.15,No,9.41,5.5,11,X,X,0,0
102,28-0061, N 43° 44.730,43.7455,W 091° 21.231,91.35383333,-91.35383333,3,3.533333333,NO,Houston,7.8,59,CONCRETE,Butterfield Valley Rd,0.12,14.11,15.64,5.64,15.09,5.17,0,8.490566038,0.93220339,0.796610169,No,14.23,10,30,0,X,0,NA
4,28-0177, N 43° 34.930,43.58216667,W 091° 43.723,91.72866667,-91.72866667,2,4.166666667,NO,Fillmore,6,55,CONCRETE,Crystal Creek Rd.,0.05,11.09,12.27,12.27,11.77,11.83,0,5.76,0.909090909,0.8,No,11.14,12,24,X,X,0.5,0.3
25,23-0113, N 43° 41.572,43.69283333,W 092° 12.316,92.20516667,-92.20516667,2,7.4,NO,Fillmore,7.2,112.5,CONCRETE,Lantern Rd,0.71,12.23,15.1,14.66,14.09,13.59,0,1.486486486,0.897777778,0.951111111,No,12.94,5.5,11,X,X,0,0
9,23-0173, N 43° 35.253,43.5875,W 092° 21.662,92.361,-92.361,3,1.65,NO,Fillmore,5.3,51,CONCRETE,160 ST,0.07,8.92,12.46,12.14,12.05,11.65,0,12.72727273,0.803921569,0.960784314,No,8.99,7,21,0,X,0,0
128,28-0116, N 43° 49.901,43.83166667,W 091° 34.892,91.5815,-91.5815,3,7.333333333,NO,Houston,8,112,CONCRETE,CR 26,0.46,20.81,22.45,22.28,21.58,21.24,0,4.090909091,0.776785714,0.928571429,No,21.27,10,30,0,X,0,NA
171,55-0042, N 43° 51.602,43.86,W 092° 32.732,92.5455,-92.5455,2,2.666666667,NO,Olmstead,6,58.5,CONCRETE,CO Rd 8 S-,0.07,11.82,12.69,12.7,12.24,12.24,0,7.5,0.769230769,0.786324786,No,11.89,10,20,X,X,0.8,0.4
112,28-0133, N 43° 47.093,43.78483333,W 091° 42.245,91.704,-91.704,2,1.866666667,NO,Houston,8,82,CONCRETE,Ferndale Rd.,0.52,19.6,20.23,20.27,19.64,19.64,0,10.71428571,0.719512195,0.768292683,No,20.12,10,20,X,X,0.3,0
108,28-0078, N 43° 45.891,43.76483333,W 091° 27.009,91.45,-91.45,3,2,NO,Houston,8,116,CONCRETE,H-y 16,0.04,9.8,5.93,5.93,5.14,5.16,0,18,0.681034483,0.663793103,No,9.84,12,36,0,X,0,NA
169,55-0054, N 43° 50.891,43.84816667,W 092° 33.160,92.55266667,-92.55266667,3,15.25,NO,Olmstead,8,80.5,CONCRETE,120st S-,0.77,14.44,15.89,16.04,15.35,13.35,0,2.360655738,0.670807453,3.341614907,No,15.21,12,36,0,X,0,0
173,55-0014, N 43° 51.894,43.86483333,W 092°11.922,92.19866667,-92.19866667,3,1.566666667,NO,Olmstead,8.5,151,CONCRETE,H-Y 52,0.52,18.68,11.3,11.02,10.31,10.2,0,22.9787234,0.655629139,0.543046358,No,19.2,12,36,0,X,0,0
126,28-0113, N 43° 49.329,43.822,W 091° 35.510,91.59183333,-91.59183333,3,9.6,NO,Houston,8,96,CONCRETE,CR 26,0.04,19.17,20.63,10.39,20.04,9.94,0,3.4375,0.614583333,0.46875,No,19.21,11,33,0,X,0,NA
113,28-0082, N 43° 47.095,43.78483333,W 091° 29.074,91.4845,-91.4845,3,3.766666667,NO,Houston,8,87,CONCRETE,H-Y 21,0.97,12.99,14.45,14.4,13.92,13.96,0,7.96460177,0.609195402,0.505747126,No,13.96,10,30,NA,X,0,0.1
41,23-0036, N 43° 48.024,43.80033333,W 092° 03.065,92.051,-92.051,3,20.33333333,NO,Fillmore,10,79,CONCRETE,Hot Iron Rd.,0.47,13.32,16.21,,15.73,,0,1.475409836,0.607594937,NA,No,13.79,10,30,0.7,X,0,NA
191,85-0064, N 43° 51.482,43.858,W 091° 33.967,91.566,-91.566,2,6.266666667,NO,Winona,7,103,CONCRETE,CR 13,0.06,13.08,14.46,6.86,13.85,6.17,0,3.191489362,0.59223301,0.669902913,No,13.14,10,20,X,X,0,NA
103,28-0080, N 43° 45.105,43.75166667,W 091° 29.545,91.49233333,-91.49233333,3,5.2,NO,Houston,10,64,CONCRETE,Sanden Rd,0.14,15.34,16.78,4.77,16.43,4.54,0,5.769230769,0.546875,0.359375,No,15.48,10,30,NA,X,0,NA
170,55-0041, N 43° 50.996,43.84983333,W 092° 32.179,92.53616667,-92.53616667,2,5.25,NO,Olmstead,8,209,CONCRETE,I-90,1.09,20.31,21.5,21.54,20.37,20.36,0,3.80952381,0.540669856,0.564593301,No,21.4,10,20,X,X,0,0
90,28-0145, N 43° 42.092,43.7015,W 091° 33.609,91.56,-91.56,2,4.233333333,NO,Houston,6,43,METAL,Private Drive,0.17,11.39,5.63,12.77,5.44,12.49,0,1.417322835,0.441860465,0.651162791,No,11.56,3,6,X,X,NA,0.4
176,55-0034, N 43° 52.836,43.8805,W 092° 25.083,92.418,-92.418,2,6.266666667,NO,Olmstead,10,89,CONCRETE,98ST e,0.01,21.23,22.4,,22.02,,0,3.829787234,0.426966292,NA,No,21.24,12,24,X,X,0.2,0
33,23-0051, N 43° 44.773,43.74616667,W 092° 10.258,92.17083333,-92.17083333,3,5.4,NO,Fillmore,8,94,CONCRETE,H-y 8,0.36,15.47,8.51,8.54,8.14,8.18,0,6.666666667,0.393617021,0.382978723,No,15.83,12,36,0,X,NA,NA
37,23-0197, N 43° 46.641,43.77733333,W 092°17.344,92.289,-92.289,2,3.633333333,NO,Fillmore,6.5,61,CONCRETE,181 AVE,0.13,12.63,6.54,13.76,6.31,13.56,0,5.504587156,0.37704918,0.327868852,No,12.76,10,20,X,X,NA,0
28,23-0224, N 43° 42.406,43.70666667,W 092°19.058,92.3175,-92.3175,3,14.83333333,NO,Fillmore,7,66.5,CONCRETE,Orchard rd,0.05,10.75,3.81,3.68,3.6,3.65,0,0.808988764,0.315789474,0.045112782,No,10.8,4,12,0.5,X,0,0
40,23-0024, N 43° 47.321,43.78866667,W 092° 01.501,92.025,-92.025,3,3.7,NO,Fillmore,9,80,CONCRETE,Harro- Dr.,0.81,12.69,13.43,2.48,13.2,2.34,0,8.108108108,0.2875,0.175,No,13.5,10,30,0,X,0,NA
45,23-0188, N 43° 48.834,43.81383333,W 092°13.516,92.22516667,-92.22516667,3,8.833333333,NO,Fillmore,7.5,74,CONCRETE,CR 102,0.51,14.86,15.29,15.33,15.1,15.12,0,1.132075472,0.256756757,0.283783784,No,15.37,3.333333333,10,0,X,0,0
23,23-0240, N 43° 41.129,43.68533333,W 092° 24.267,92.40433333,-92.40433333,2,2.133333333,NO,Fillmore,7.5,113,CONCRETE,CR 1,0.29,14.38,15.29,6.53,15.02,6.26,0,11.25,0.238938053,0.238938053,No,14.67,12,24,X,X,0,0
17,23-0083, N 43° 36.465,43.60766667,W 091° 56.884,91.948,-91.948,3,6.066666667,NO,Fillmore,8,67,CONCRETE,351 AVE,0.25,13.05,14.32,5.56,14.17,4.8,0,6.181318681,0.223880597,1.134328358,No,13.3,12.5,37.5,0,X,0,0
8,23-0089, N 43° 35.157,43.58583333,W 091° 51.294,91.85483333,-91.85483333,3,9.9,NO,Fillmore,12,74,CONCRETE,Deer Rd,-0.11,13.41,14.62,2.86,14.46,2.84,0,1.212121212,0.216216216,0.027027027,No,13.3,4,12,0,X,0,0
26,23-0098, N 43° 41.583,43.693,W 092°59.528,92.992,-92.992,3,7.6,NO,Fillmore,8.8,93,CONCRETE,Grossbeak RD,0.12,15.52,17.11,7.43,16.92,6.86,0,5.526315789,0.204301075,0.612903226,No,15.64,14,42,0,X,0,0
39,23-0211, N 43° 47.022,43.78366667,W 092° 22.142,92.369,-92.369,3,10.66666667,NO,Fillmore,8,94,CONCRETE,143 Ave,0.36,13.59,6.79,15.56,6.62,15.33,0,3.375,0.180851064,0.244680851,No,13.95,12,36,0,X,0,0
7,23-0069, N 43° 35.104,43.585,W 091° 45.028,91.75033333,-91.75033333,3,5.966666667,NO,Fillmore,10,94,CONCRETE,CR 29,0.09,14.2,5.48,5.47,5.35,5.35,0,5.027932961,0.138297872,0.127659574,No,14.29,10,30,0,NA,X,NA
182,55-0013, N 43° 54.641,43.91066667,W 092° 12.827,92.21366667,-92.21366667,2,6.2,NO,Olmstead,8.5,49.5,CONCRETE,132 Ave SE,0.04,13.21,14.77,14.99,14.71,15.06,0,4.516129032,0.121212121,-0.141414141,No,13.25,14,28,X,X,0,0
198,85-0084, N 43° 54.263,43.90433333,W 091° 40.774,91.6795,-91.6795,2,2.1,NO,Winona,8,89,CONCRETE,CR 19,0.03,11.3,13.75,13.7,13.65,13.03,0,13.33333333,0.112359551,0.752808989,No,11.33,14,28,X,X,0,0
49,23-0030, N 43° 49.526,43.82533333,W 092° 01.252,92.02083333,-92.02083333,3,5.9,NO,Fillmore,8.5,84.6,CONCRETE,Harro- Dr.,-0.05,14.61,15.81,6.16,15.72,6.01,0,7.118644068,0.106382979,0.177304965,No,14.56,14,42,NA,X,0,NA
180,55-0003, N 43° 53.863,43.89766667,W 092°05.576,92.09283333,-92.09283333,3,4.9,NO,Olmstead,9,86,CONCRETE,CR 30,0,13.49,5,5.15,4.92,5.08,0,6.12244898,0.093,0.081395349,No,13.49,10,30,0,X,0,0
24,23-0235, N 43° 41.166,43.686,W 092° 23.460,92.391,-92.391,3,7.5,NO,Fillmore,8,85,CONCRETE,S Broad-ay Ave,0.15,11.54,13.78,13.47,13.71,13.71,0,4.4,0.0824,-0.282352941,No,11.69,11,33,0,X,0,0
91,28-0165, N 43° 42.142,43.70233333,W 091° 40.437,91.67383333,-91.67383333,2,4.133333333,NO,Houston,12,67,CONCRETE,John Deere Dr.,1.66,18.64,5.64,19.3,5.59,19.25,0,2.903225806,0.0746,0.074626866,No,20.3,6,12,X,X,NA,0.6
181,55-0008, N 43° 54.483,43.908,W 092° 12.827,92.21366667,-92.21366667,2,7.433333333,NO,Olmstead,8.5,61,CONCRETE,132 Ave SE,-0.05,16.2,17.29,16.94,17.26,17.62,0,3.766816143,0.0492,-1.114754098,No,16.15,14,28,X,X,0,0
124,28-0076, N 43° 48.103,43.80166667,W 091° 25.879,91.43116667,-91.43116667,4,,NO,Houston,,NA,CONCRETE,Day Valley Dr,,,18.16,15.21,18.15,15.02,0,NA,0.0123,0.243589744,No,18.9,NA,NA,0,0,0,0
30,23-0203, N 43° 44.159,43.73583333,W 092° 16.589,92.27633333,-92.27633333,2,3.966666667,NO,Fillmore,8,108,CONCRETE,CR 5,0.04,17.8,19.57,10.74,19.57,10.71,0,7.058823529,0,0.027777778,No,17.84,14,28,X,X,0,NA
193,85-0065, N 43° 52.042,43.86733333,W 091° 33.582,91.55966667,-91.55966667,3,,NO,Winona,,NA,PLASTIC,CR 13,0.52,5.44,6.09,6.3,6.09,6.19,0,NA,0,0.523809524,No,5.96,2.1,6.3,0,X,0.7,0.3
12,23-0078, N 43° 35.761,43.596,W 091° 54.578,91.9095,-91.9095,2,6.333333333,NO,Fillmore,9,105,CONCRETE,371st Ave,,19.34,10.8,20.63,10.81,20.52,0,4.421052632,-0.00952,0.104761905,No,,14,28,X,X,NA,0
32,23-0052, N 43° 44.770,43.74616667,W 092° 10.832,92.1805,-92.1805,3,2.033333333,NO,Fillmore,7.2,88,CONCRETE,H-y 8,0.04,13.95,15.72,16.47,15.75,16.2,0,16.2295082,-0.0341,0.306818182,No,13.99,11,33,0,X,0,0
14,23-0171, N 43° 36.124,43.602,W 092°20.632,92.34383333,-92.34383333,3,4.166666667,NO,Fillmore,,123,CONCRETE,CR 14,-0.06,12.43,15.58,15.84,15.65,15.41,0,8.64,-0.0569,0.349593496,No,12.37,12,36,0,X,0,0
98,28-0063, N 43° 44.217,43.73683333,W 091° 20.792,91.3465,-91.3465,1,1.233333333,NO,Houston,6.4,60,METAL,Private Drive,0.59,10.84,6.1,12,6.3,12.32,0,14.59459459,-0.333333333,-0.533333333,No,11.43,18,18,X,X,NA,0.7
16,23-0082, N 43° 36.381,43.60633333,W 091° 55.784,91.92966667,-91.92966667,3,8.6,NO,Fillmore,8.7,114,CONCRETE,CR 21,0.07,20.17,10.06,9.96,10.55,10.45,0,1.511627907,-0.429824561,-0.429824561,No,20.24,4.333333333,13,0,X,NA,NA
175,55-0025, N 43° 52.797,43.87983333,W 092° 16.453,92.27416667,-92.27416667,2,2.933333333,NO,Olmstead,5,58,CONCRETE,CR 139,10.62,1.31,12.66,,13,,0,6.136363636,-0.586206897,NA,No,11.93,9,18,X,X,0,NA
13,23-0079, N 43° 36.010,43.60016667,W 091° 54.586,91.90966667,-91.90966667,1,8.966666667,NO,Fillmore,9,45.5,CONCRETE,371st Ave,1.51,14.07,X,14.62,X,14.37,0,3.178438662,X,0.549450549,Yes,15.58,28.5,28.5,X,X,X,1.9
15,23-0077, N 43° 36.156,43.6025,W 091° 54.586,91.90966667,-91.90966667,1,8.733333333,NO,Fillmore,9,45.5,CONCRETE,371st Ave,1.27,13.59,X,14.09,X,13.91,0,3.263358779,X,0.395604396,Yes,14.86,28.5,28.5,X,X,X,1.5
20,23-0167, N 43° 38.173,43.63616667,W 092° 19.002,92.31666667,-92.31666667,1,,NO,Fillmore,5,36,METAL,Oxen Rd,3,9.28,X,12.08,X,9.62,0,,X,6.833333333,Yes,12.28,5,5,X,X,X,1.5
52,23-0243, N 43°43.177,43.7195,W 092° 20.946,92.349,-92.349,1,3.933333333,NO,Fillmore,8,59,CONCRETE,151 Ave,0,14.52,X,15.86,X,15.41,0,3.050847458,X,0.762711864,Yes,14.52,12,12,X,X,X,1.6
92,28-0146, N 43° 42.620,43.71033333,W 091° 33.332,91.5555,-91.5555,1,1.433333333,NO,Houston,13,40.5,METAL,Skree Dr,-0.17,14.61,X,17.69,X,18.44,0,9.069767442,X,-1.851851852,Yes,14.44,13,13,X,X,X,3
114,28-0107, N 43° 47.147,43.78566667,W 091° 32.467,91.541,-91.541,1,1.5,NO,Houston,5,83,CONCRETE,Paradise Rd,6.6,17.01,X,20.86,X,17.93,0,3.333333333,X,3.530120482,Yes,23.61,5,5,X,X,X,1
116,28-0050, N 43° 47.436,43.7905,W 091° 24.153,91.4025,-91.4025,1,1.066666667,NO,Houston,10,67,CONCRETE,Bush Valley Rd.,0.08,14.69,X,17.11,X,16.35,0,9.375,X,1.134328358,Yes,14.77,10,10,X,X,X,1.3
120,28-0054, N 43° 47.601,43.79333333,W 091° 23.870,91.39783333,-91.39783333,1,,NO,Houston,13,29.6,METAL,Bush Valley Rd.,0.46,16.11,X,17.51,X,17.65,0,NA,X,-0.472972973,Yes,16.57,NA,NA,X,X,X,1.26
118,28-0131, N 43° 47.588,43.793,W 091° 41.094,91.68483333,-91.68483333,2,3.266666667,NO,Houston,6,45,CONCRETE,River Dr.,2.32,10.55,12.15,11.75,10.77,10.71,0,5.510204082,3.066666667,2.311111111,Yes,12.87,9,18,X,X,2,3.6
104,28-0129, N 43° 45.178,43.75283333,W 091° 41.360,91.68933333,-91.68933333,2,3.1,NO,Houston,8,80,CONCRETE,Daley Creek Rd,2.09,16.58,18.07,18.04,16.92,16.96,0,6.451612903,1.4375,1.35,Yes,18.67,10,20,X,X,1,NA
192,85-0068, N 43° 51.828,43.86366667,W 091° 38.582,91.643,-91.643,2,5.033333333,NO,Winona,7,83,CONCRETE,CR 17,1.9,11.49,12.89,12.6,12,12.45,0,4.370860927,1.072289157,0.180722892,Yes,13.39,11,22,X,X,0.7,2
99,28-0062-2, N 43° 44.223,43.737,W 091° 21.042,91.35066667,-91.35066667,2,,NO,Houston,10,65,CONCRETE,Butterfield Valley Rd,2.45,13.85,14.92,14.9,14.26,14.33,0,NA,1.015384615,0.876923077,Yes,16.3,NA,NA,X,X,2.2,NA
127,28-0097, N 43° 49.657,43.8275,W 091° 30.948,91.51566667,-91.51566667,2,1,NO,Houston,,100,CONCRETE,CR 9,1.3,17.93,19.16,19.16,18.54,18.4,0,20,0.62,0.76,Yes,19.23,10,20,X,X,0.8,2.2
107,28-0126, N 43° 45.856,43.76416667,W 091° 40.764,91.67933333,-91.67933333,3,8.066666667,NO,Houston,,76,CONCRETE,CR 16,1.99,16.28,16.95,16.85,16.54,16.61,0,3.719008264,0.539473684,0.315789474,Yes,18.27,10,30,1.4,X,1.3,2.6
100,28-0062-1, N 43° 44.227,43.737,W 091° 21.007,91.35,-91.35,2,,NO,Houston,10,70,CONCRETE,Butterfield Valley Rd,0.85,16.92,18.03,18.03,17.68,17.7,0,NA,0.5,0.471428571,Yes,17.77,NA,NA,X,X,1,1.3
51,23-0039, N 43° 50.348,43.839,W 092° 02.767,92.046,-92.046,3,28.46666667,NO,Fillmore,8,58,CONCRETE,Gunflint Rd.,0.07,13.39,14.19,14.55,14.29,14.55,0,1.264637002,-0.172413793,0,Yes,13.46,12,36,1.81,X,0.28,1.08
146,50-0063,N 43°40.865',43.68108333,W 091°39.108',91.6518,-91.6518,2,1.5,YES,Mo-er,8,88,CONCRETE,CR13,0.14,14.78,15.06,15.33,15.18,15.24,4.47,10.66666667,-0.136363636,0.102272727,Yes,14.92,8,16,NA,NA,NA,NA
141,50-0028,N 43°38.997',43.64995,W 091°31.780',91.52966667,-91.52966667,2,,YES,Mo-er,8.5,66,CONCRETE,760th Ave,-0.17,13.02,15,14.97,14.53,14.57,7.31,NA,0.712121212,0.606060606,Yes,12.85,NA,NA,X,X,NA,YES
36,23-0198, N 43° 46.619,43.77683333,W 092°18.544,92.309,-92.309,1,1,YES,Fillmore,5,40,METAL,171 AVE,4,8.51,X,10.92,X,9.15,8,5,X,4.425,Yes,12.51,5,5,X,X,X,1
84,23-0280,N 43°47.986',43.79976667,W 091°47.925',91.79875,-91.79875,2,1.266666667,YES,Fillmore,6,50,CONCRETE,CR16,1.88,13.21,13.53,13.58,13.25,13.3,8.71,16.10526316,0.56,0.56,Yes,15.09,10.2,20.4,NA,NA,NA,NA
202,85-0127,N 43°55.573',43.92621667,-0092°03.764',92.06273333,-92.06273333,1,2.566666667,YES,Winona,2,NA,METAL,Drive-ay,,,X,,X,,8.77,0.779220779,X,NA,Yes,,2,2,NA,NA,NA,NA
19,23-0165, N 43° 37.978,43.63283333,W 092°18.157,92.3025,-92.3025,1,1.5,YES,Fillmore,2.75,25,CONCRETE,Otter trail,1.54,4.96,X,6.53,X,5.5,10,1.833333333,X,4.12,Yes,6.5,2.75,2.75,X,X,X,1.3
179,55-0002-2, N 43° 53.558,43.8925,W 092°04.769,92.07933333,-92.07933333,1,,YES,Olmstead,6,28,METAL,Private Drive,0.37,9.16,X,10.26,X,9.6,10,NA,X,2.357142857,Yes,9.53,NA,NA,X,X,X,0
207,85-0111,N 43°56.585',43.94308333,W 091°53.572',91.89286667,-91.89286667,1,1.866666667,YES,Winona,10.5,69,CONCRETE,Thompson Rd,0.03,16.69,X,20.1,X,19.44,10.4,5.357142857,X,0.956521739,Yes,16.72,10,10,NA,NA,NA,NA
61,23-0140,N 43°36.542',43.60903333,W 092°07.343',92.12238333,-92.12238333,3,3,NO,Fillmore,7,75.4,CONCRETE,NA,0.03,14.98,8.14,8.26,8.18,8.22,10.62,3.966666667,-0.0531,0.053050398,Yes,15.01,3.966666667,11.9,NA,NA,NA,NA
62,23-0142,N 43°36.576',43.6096,W 092°08.393',92.13988333,-92.13988333,1,,YES,Fillmore,6,39.8,CONCRETE,CR110,0.02,11.83,X,13.87,X,14.06,11.69,NA,X,-0.477386935,Yes,11.85,NA,NA,NA,NA,NA,NA
136,28-0019,N 43°41.889',43.69815,W 091°16.948',91.28246667,-91.28246667,2,,YES,Houston,,20,METAL,NA,1.03,6.77,NA,,NA,,12.83,NA,NA,NA,Yes,7.8,NA,NA,NA,NA,NA,NA
149,50-0050,N 43°43.051',43.71751667,W 091°37.798',91.62996667,-91.62996667,3,7.233333333,NO,Mo-er,9,64,CONCRETE,710 Ave,0,14.5,16.35,16.14,15.9,15.86,13.41,NA,0.703125,0.4375,Yes,14.5,NA,NA,NA,NA,NA,NA
162,50-0001,N 43°48.872',43.81453333,W 092°32.960',92.54933333,-92.54933333,2,,YES,Mo-er,4.5,40,CONCRETE,750th Ave,-0.07,9.06,9.67,9.68,9.37,9.47,14,NA,0.75,0.525,Yes,8.99,NA,NA,NA,NA,NA,NA
82,23-0285,N 43°47.593',43.79321667,W 091°50.453',91.84088333,-91.84088333,1,4,YES,Fillmore,2.65,36,CONCRETE,Benson Ln,2.67,9.6,X,10.23,X,10.23,14.06,0.675,X,0,Yes,12.27,2.7,2.7,NA,NA,NA,NA
22,23-0241, N 43° 40.460,43.67433333,W 092° 24.742,92.41233333,-92.41233333,1,1.366666667,YES,Fillmore,5.5,54,CONCRETE,CR 12,0.01,11.88,X,13.27,X,12.78,15,4.024390244,X,0.907407407,Yes,11.89,5.5,5.5,X,X,X,2.3
178,55-0002-1, N 43° 53.489,43.89133333,W 092°04.870,92.08116667,-92.08116667,1,,YES,Olmstead,5,47,METAL,Private Drive,2.97,10,X,13,X,10.73,15,NA,X,4.829787234,Yes,12.97,NA,NA,X,X,X,2
